event_name,group,strategy,side,exit_offset_min,entry_price,exit_price,pnl_pct,pnl_pct_after_fees
NFP_Mar2025,NFP,strat1_pre_long,long,60,1776.7,1779.19,0.140147,0.040147
NFP_Mar2025,NFP,strat1_pre_long,long,120,1776.7,1786.03,0.525131,0.425131
NFP_Mar2025,NFP,strat2_pre_short,short,15,1776.7,1780.31,-0.203186,-0.303186
NFP_Mar2025,NFP,strat2_pre_short,short,30,1776.7,1788.1,-0.641639,-0.741639
NFP_Mar2025,NFP,strat2_pre_short,short,60,1776.7,1779.19,-0.140147,-0.240147
NFP_Mar2025,NFP,strat2_pre_short,short,120,1776.7,1786.03,-0.525131,-0.625131
NFP_Apr2025,NFP,strat1_pre_long,long,15,1829.76,1832.99,0.176526,0.076526
NFP_Apr2025,NFP,strat1_pre_long,long,30,1829.76,1840.1,0.565101,0.465101
NFP_Apr2025,NFP,strat1_pre_long,long,60,1829.76,1834.54,0.261236,0.161236
NFP_Apr2025,NFP,strat1_pre_long,long,120,1829.76,1843.7,0.761849,0.661849
NFP_Apr2025,NFP,strat2_pre_short,short,15,1829.76,1832.99,-0.176526,-0.276526
NFP_Apr2025,NFP,strat2_pre_short,short,30,1829.76,1840.1,-0.565101,-0.665101
NFP_Apr2025,NFP,strat2_pre_short,short,60,1829.76,1834.54,-0.261236,-0.361236
NFP_Apr2025,NFP,strat2_pre_short,short,120,1829.76,1843.7,-0.761849,-0.861849
NFP_May2025,NFP,strat1_pre_long,long,15,2475.86,2472.33,-0.142577,-0.242577
NFP_May2025,NFP,strat1_pre_long,long,30,2475.86,2474.2,-0.067047,-0.167047
NFP_May2025,NFP,strat1_pre_long,long,60,2475.86,2481.27,0.21851,0.11851
NFP_May2025,NFP,strat1_pre_long,long,120,2475.86,2506.2,1.225433,1.125433
NFP_May2025,NFP,strat2_pre_short,short,15,2475.86,2472.33,0.142577,0.042577
NFP_May2025,NFP,strat2_pre_short,short,30,2475.86,2474.2,0.067047,-0.032953
NFP_May2025,NFP,strat2_pre_short,short,60,2475.86,2481.27,-0.21851,-0.31851
NFP_May2025,NFP,strat2_pre_short,short,120,2475.86,2506.2,-1.225433,-1.325433
NFP_Jun2025,NFP,strat1_pre_long,long,15,2598.83,2578.08,-0.798436,-0.898436
NFP_Jun2025,NFP,strat1_pre_long,long,30,2598.83,2587.85,-0.422498,-0.522498
NFP_Jun2025,NFP,strat1_pre_long,long,60,2598.83,2590.06,-0.33746,-0.43746
NFP_Jun2025,NFP,strat1_pre_long,long,120,2598.83,2602.84,0.1543,0.0543
NFP_Jun2025,NFP,strat2_pre_short,short,15,2598.83,2578.08,0.798436,0.698436
NFP_Jun2025,NFP,strat2_pre_short,short,30,2598.83,2587.85,0.422498,0.322498
NFP_Jun2025,NFP,strat2_pre_short,short,60,2598.83,2590.06,0.33746,0.23746
NFP_Jun2025,NFP,strat2_pre_short,short,120,2598.83,2602.84,-0.1543,-0.2543
NFP_Jul2025,NFP,strat1_pre_long,long,15,3642.17,3667.12,0.685031,0.585031
NFP_Jul2025,NFP,strat1_pre_long,long,30,3642.17,3661.55,0.5321,0.4321
NFP_Jul2025,NFP,strat1_pre_long,long,60,3642.17,3652.2,0.275385,0.175385
NFP_Jul2025,NFP,strat1_pre_long,long,120,3642.17,3649.91,0.212511,0.112511
NFP_Jul2025,NFP,strat2_pre_short,short,15,3642.17,3667.12,-0.685031,-0.785031
NFP_Jul2025,NFP,strat2_pre_short,short,30,3642.17,3661.55,-0.5321,-0.6321
NFP_Jul2025,NFP,strat2_pre_short,short,60,3642.17,3652.2,-0.275385,-0.375385
NFP_Jul2025,NFP,strat2_pre_short,short,120,3642.17,3649.91,-0.212511,-0.312511
NFP_Aug2025,NFP,strat1_pre_long,long,15,4433.16,4431.56,-0.036092,-0.136092
NFP_Aug2025,NFP,strat1_pre_long,long,30,4433.16,4469.39,0.81725,0.71725
NFP_Aug2025,NFP,strat1_pre_long,long,60,4433.16,4462.68,0.665891,0.565891
NFP_Aug2025,NFP,strat1_pre_long,long,120,4433.16,4320.89,-2.532505,-2.632505
NFP_Aug2025,NFP,strat2_pre_short,short,15,4433.16,4431.56,0.036092,-0.063908
NFP_Aug2025,NFP,strat2_pre_short,short,30,4433.16,4469.39,-0.81725,-0.91725
NFP_Aug2025,NFP,strat2_pre_short,short,60,4433.16,4462.68,-0.665891,-0.765891
NFP_Aug2025,NFP,strat2_pre_short,short,120,4433.16,4320.89,2.532505,2.432505
NFP_Sep2025_Delayed,NFP,strat1_pre_long,long,15,3022.38,3000.35,-0.728896,-0.828896
NFP_Sep2025_Delayed,NFP,strat1_pre_long,long,30,3022.38,2998.62,-0.786135,-0.886135
NFP_Sep2025_Delayed,NFP,strat1_pre_long,long,60,3022.38,3012.18,-0.337482,-0.437482
NFP_Sep2025_Delayed,NFP,strat1_pre_long,long,120,3022.38,2986.6,-1.183835,-1.283835
NFP_Sep2025_Delayed,NFP,strat2_pre_short,short,15,3022.38,3000.35,0.728896,0.628896
