event_type,strategy,config,n,mean_raw,median_raw,win_rate_raw,best_event,best_value,worst_event,worst_value,mean_excl_largest_winner,mean_excl_largest_loser,mean_afterfees,win_rate_afterfees,realized_max_dd_raw_pct
PPI,straddle,TP3.0/SL1.5,10,-0.0471,-0.2599,0.3,PPI_Jul2025,1.5,PPI_Dec2024,-0.9495,-0.219,0.0531,-0.2471,0.3,-2.9187
PPI,straddle,TP3.0/SL2.0,10,0.0447,0.0,0.3,PPI_Jul2025,1.0,PPI_Sep2025_Delayed,-0.8842,-0.0614,0.148,-0.1553,0.2,-0.8726
ALL,straddle,TP0.5/SL0.5,21,0.0,0.0,0.0,PPI_Dec2024,0.0,PPI_Dec2024,0.0,0.0,0.0,-0.2,0.0,0.0
ALL,straddle,TP0.5/SL1.0,21,-0.2143,-0.5,0.1905,CPI_Jan2025,1.0,PPI_Dec2024,-0.5,-0.275,-0.2,-0.4143,0.1905,-5.4455
ALL,straddle,TP0.5/SL1.5,21,-0.4286,-1.0,0.2857,CPI_Jan2025,1.0,PPI_Dec2024,-1.0,-0.5,-0.4,-0.6286,0.2857,-9.0
ALL,straddle,TP0.5/SL2.0,21,-0.4475,-1.5,0.381,CPI_Jan2025,1.0,CPI_Dec2024,-1.5,-0.5199,-0.3949,-0.6475,0.381,-13.2575
ALL,straddle,TP1.0/SL0.5,21,0.2143,0.5,0.8095,PPI_Dec2024,0.5,CPI_Jan2025,-1.0,0.2,0.275,0.0143,0.8095,-1.9802
ALL,straddle,TP1.0/SL1.0,21,0.0,0.0,0.0,PPI_Dec2024,0.0,PPI_Dec2024,0.0,0.0,0.0,-0.2,0.0,0.0
ALL,straddle,TP1.0/SL1.5,21,-0.1429,-0.5,0.1429,PPI_Feb2025,2.0,PPI_Dec2024,-0.5,-0.25,-0.125,-0.3429,0.1429,-5.3659
ALL,straddle,TP1.0/SL2.0,21,-0.1306,-1.0,0.3333,CPI_Feb2025,2.0,CPI_Dec2024,-1.0,-0.2372,-0.0872,-0.3306,0.2857,-9.6162
ALL,straddle,TP1.5/SL0.5,21,0.4286,1.0,0.7143,PPI_Dec2024,1.0,CPI_Jan2025,-1.0,0.4,0.5,0.2286,0.7143,-1.9608
ALL,straddle,TP1.5/SL1.0,21,0.1429,0.5,0.8571,PPI_Dec2024,0.5,PPI_Feb2025,-2.0,0.125,0.25,-0.0571,0.8571,-4.878
ALL,straddle,TP1.5/SL1.5,21,0.0,0.0,0.0,PPI_Dec2024,0.0,PPI_Dec2024,0.0,0.0,0.0,-0.2,0.0,0.0
ALL,straddle,TP1.5/SL2.0,21,0.1152,-0.5,0.3333,CPI_Feb2025,3.0,CPI_Dec2024,-0.5,-0.0291,0.1459,-0.0848,0.2857,-4.6371
ALL,straddle,TP2.0/SL0.5,21,0.4475,1.5,0.619,CPI_Dec2024,1.5,CPI_Jan2025,-1.0,0.3949,0.5199,0.2475,0.5714,-5.9084
ALL,straddle,TP2.0/SL1.0,21,0.1306,1.0,0.6667,CPI_Dec2024,1.0,CPI_Feb2025,-2.0,0.0872,0.2372,-0.0694,0.6667,-9.0145
ALL,straddle,TP2.0/SL1.5,21,-0.1152,0.5,0.619,CPI_Dec2024,0.5,CPI_Feb2025,-3.0,-0.1459,0.0291,-0.3152,0.619,-7.4455
ALL,straddle,TP2.0/SL2.0,21,0.0,0.0,0.0,PPI_Dec2024,0.0,PPI_Dec2024,0.0,0.0,0.0,-0.2,0.0,0.0
ALL,straddle,TP3.0/SL0.5,21,0.561,0.6158,0.5714,CPI_Dec2024,2.5,CPI_Jan2025,-1.0,0.4641,0.6391,0.361,0.5238,-5.8508
ALL,straddle,TP3.0/SL1.0,21,0.21,0.3474,0.5714,CPI_Dec2024,2.0,CPI_Feb2025,-2.0,0.1205,0.3205,0.01,0.5238,-8.8704
ALL,straddle,TP3.0/SL1.5,21,-0.0424,0.0,0.4762,CPI_Dec2024,1.5,CPI_Feb2025,-3.0,-0.1195,0.1055,-0.2424,0.4762,-7.2996
ALL,straddle,TP3.0/SL2.0,21,0.055,0.0,0.4286,CPI_Dec2024,1.0,CPI_Sep2025_Delayed,-3.1372,0.0077,0.2146,-0.145,0.381,-4.9709
