anchor,strategy,config,n,cumulative_return_pct,max_drawdown_pct,mean_pct,median_pct,win_rate,best_event,best_value,worst_event,worst_value,mean_excl_largest_winner
B_pressconf_1430ET,straddle,straddle_TP1.0_SL0.5,8,-2.0047,-2.9774,-0.25,-0.25,0.5,FOMC_Jan,0.5,FOMC_May,-1.0,-0.3571
B_pressconf_1430ET,straddle,straddle_TP1.0_SL1.0,8,0.0,0.0,0.0,0.0,0.0,FOMC_Jan,0.0,FOMC_Jan,0.0,0.0
B_pressconf_1430ET,straddle,straddle_TP1.0_SL1.5,8,0.2139,-0.9975,0.0298,-0.25,0.25,FOMC_Sep,2.0,FOMC_Jan,-0.5,-0.2516
B_pressconf_1430ET,straddle,straddle_TP1.0_SL2.0,8,1.1909,-1.7561,0.1548,0.0,0.375,FOMC_Sep,2.0,FOMC_Jan,-1.0,-0.1088
B_pressconf_1430ET,straddle,straddle_TP1.5_SL0.5,8,-0.7711,-2.0096,-0.0923,-0.3693,0.5,FOMC_Jan,1.0,FOMC_May,-1.0,-0.2484
B_pressconf_1430ET,straddle,straddle_TP1.5_SL1.0,8,-0.2639,-2.0,-0.0298,0.25,0.5,FOMC_Jan,0.5,FOMC_Sep,-2.0,-0.1055
B_pressconf_1430ET,straddle,straddle_TP1.5_SL1.5,8,0.0,0.0,0.0,0.0,0.0,FOMC_Jan,0.0,FOMC_Jan,0.0,0.0
B_pressconf_1430ET,straddle,straddle_TP1.5_SL2.0,8,1.4627,-1.4925,0.1875,0.0,0.125,FOMC_Dec,3.0,FOMC_Jan,-0.5,-0.2143
B_pressconf_1430ET,straddle,straddle_TP2.0_SL0.5,8,0.7099,-1.99,0.0952,-0.3693,0.5,FOMC_Jan,1.5,FOMC_May,-1.0,-0.1055
B_pressconf_1430ET,straddle,straddle_TP2.0_SL1.0,8,-1.2861,-2.9996,-0.1548,0.0,0.375,FOMC_Jan,1.0,FOMC_Sep,-2.0,-0.3198
B_pressconf_1430ET,straddle,straddle_TP2.0_SL1.5,8,-1.5377,-3.0,-0.1875,0.0,0.375,FOMC_Jan,0.5,FOMC_Dec,-3.0,-0.2857
B_pressconf_1430ET,straddle,straddle_TP2.0_SL2.0,8,0.0,0.0,0.0,0.0,0.0,FOMC_Jan,0.0,FOMC_Jan,0.0,0.0
B_pressconf_1430ET,straddle,straddle_TP3.0_SL0.5,8,3.716,-1.99,0.4702,-0.3693,0.5,FOMC_Jan,2.5,FOMC_May,-1.0,0.1802
B_pressconf_1430ET,straddle,straddle_TP3.0_SL1.0,8,1.6751,-2.0392,0.2202,0.0,0.375,FOMC_Jan,2.0,FOMC_Sep,-2.0,-0.0341
B_pressconf_1430ET,straddle,straddle_TP3.0_SL1.5,8,1.4308,-3.0,0.1875,0.0,0.375,FOMC_Jan,1.5,FOMC_Dec,-3.0,0.0
B_pressconf_1430ET,straddle,straddle_TP3.0_SL2.0,8,3.0301,0.0,0.375,0.0,0.375,FOMC_Jan,1.0,FOMC_Mar,0.0,0.2857
