split,variant,trade_number,event_name,event_type,event_pnl_pct,equity_unscaled,equity_10pct_acct,rolling_peak_unscaled,drawdown_unscaled_pct,drawdown_10pct_acct_pct
full_year,D_straddle_TP1.5_SL1.0,2,FOMC_Press_Conference_Jan,FOMC_PRESS_CONFERENCE,0.25,1.005006,1.0005,1.005006,0.0,0.0
full_year,D_straddle_TP1.5_SL1.0,3,CPI_Jan2025,CPI,0.25,1.007519,1.00075,1.007519,0.0,0.0
full_year,D_straddle_TP1.5_SL1.0,4,CPI_Feb2025,CPI,0.25,1.010038,1.001,1.010038,0.0,0.0
full_year,D_straddle_TP1.5_SL1.0,5,FOMC_Press_Conference_Mar,FOMC_PRESS_CONFERENCE,-0.1193,1.008832,1.000881,1.010038,-0.1193,-0.0119
full_year,D_straddle_TP1.5_SL1.0,6,CPI_Mar2025,CPI,0.25,1.011354,1.001131,1.011354,-0.1193,-0.0119
full_year,D_straddle_TP1.5_SL1.0,7,FOMC_Press_Conference_May,FOMC_PRESS_CONFERENCE,0.0,1.011354,1.001131,1.011354,-0.1193,-0.0119
full_year,D_straddle_TP1.5_SL1.0,8,CPI_Apr2025,CPI,0.25,1.013883,1.001381,1.013883,-0.1193,-0.0119
full_year,D_straddle_TP1.5_SL1.0,9,CPI_May2025,CPI,0.25,1.016417,1.001632,1.016417,-0.1193,-0.0119
full_year,D_straddle_TP1.5_SL1.0,10,FOMC_Press_Conference_Jun,FOMC_PRESS_CONFERENCE,0.0,1.016417,1.001632,1.016417,-0.1193,-0.0119
full_year,D_straddle_TP1.5_SL1.0,11,CPI_Jun2025,CPI,0.25,1.018958,1.001882,1.018958,-0.1193,-0.0119
full_year,D_straddle_TP1.5_SL1.0,12,FOMC_Press_Conference_Jul,FOMC_PRESS_CONFERENCE,0.25,1.021506,1.002133,1.021506,-0.1193,-0.0119
full_year,D_straddle_TP1.5_SL1.0,13,CPI_Jul2025,CPI,0.25,1.024059,1.002383,1.024059,-0.1193,-0.0119
full_year,D_straddle_TP1.5_SL1.0,14,Powell_Jackson_Hole,JACKSON_HOLE,0.25,1.02662,1.002634,1.02662,-0.1193,-0.0119
