split,variant,total_return_unscaled_pct,max_drawdown_unscaled_pct,total_return_10pct_acct_pct,max_drawdown_10pct_acct_pct,n,mean,median,win_rate,best_event,best_value,worst_event,worst_value,mean_excl_largest_winner,mean_excl_largest_loser
pre_may,straddle_TP0.5_SL0.5,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,CPI_Dec2024,0.0,CPI_Dec2024,0.0,0.0,0.0
pre_may,straddle_TP0.5_SL1.0,-0.75,-0.75,-0.075,-0.075,6,-0.125,-0.25,0.1667,CPI_Jan2025,0.5,CPI_Dec2024,-0.25,-0.25,-0.1
pre_may,straddle_TP0.5_SL1.5,-1.6237,-1.6237,-0.163,-0.163,6,-0.2718,-0.5,0.1667,CPI_Jan2025,0.5,CPI_Dec2024,-0.5,-0.4261,-0.2261
pre_may,straddle_TP0.5_SL2.0,-0.14,-1.4944,-0.0132,-0.1499,6,-0.0218,0.1847,0.5,CPI_Jan2025,0.5,CPI_Dec2024,-0.75,-0.1261,0.1239
pre_may,straddle_TP1.0_SL0.5,0.75,-0.5,0.075,-0.05,6,0.125,0.25,0.8333,CPI_Dec2024,0.25,CPI_Jan2025,-0.5,0.1,0.25
pre_may,straddle_TP1.0_SL1.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,CPI_Dec2024,0.0,CPI_Dec2024,0.0,0.0,0.0
pre_may,straddle_TP1.0_SL1.5,-1.1259,-1.1259,-0.113,-0.113,6,-0.1884,-0.25,0.1667,FOMC_Press_Conference_Mar,0.1193,CPI_Dec2024,-0.25,-0.25,-0.1761
pre_may,straddle_TP1.0_SL2.0,0.6074,-1.4925,0.0618,-0.1499,6,0.1032,-0.1903,0.5,CPI_Feb2025,1.0,CPI_Dec2024,-0.5,-0.0761,0.2239
pre_may,straddle_TP1.5_SL0.5,1.6376,-0.5,0.1631,-0.05,6,0.2718,0.5,0.8333,CPI_Dec2024,0.5,CPI_Jan2025,-0.5,0.2261,0.4261
pre_may,straddle_TP1.5_SL1.0,1.1354,-0.1193,0.1131,-0.0119,6,0.1884,0.25,0.8333,CPI_Dec2024,0.25,FOMC_Press_Conference_Mar,-0.1193,0.1761,0.25
pre_may,straddle_TP1.5_SL1.5,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,CPI_Dec2024,0.0,CPI_Dec2024,0.0,0.0,0.0
pre_may,straddle_TP1.5_SL2.0,2.2518,-0.7481,0.225,-0.075,6,0.375,-0.125,0.3333,CPI_Feb2025,1.5,CPI_Dec2024,-0.25,0.15,0.5
pre_may,straddle_TP2.0_SL0.5,0.1213,-1.3638,0.013,-0.1369,6,0.0218,-0.1847,0.5,CPI_Dec2024,0.75,CPI_Jan2025,-0.5,-0.1239,0.1261
pre_may,straddle_TP2.0_SL1.0,-0.6312,-2.107,-0.0621,-0.2118,6,-0.1032,0.1903,0.5,CPI_Dec2024,0.5,CPI_Feb2025,-1.0,-0.2239,0.0761
pre_may,straddle_TP2.0_SL1.5,-2.248,-2.9775,-0.225,-0.2998,6,-0.375,0.125,0.5,CPI_Dec2024,0.25,CPI_Feb2025,-1.5,-0.5,-0.15
pre_may,straddle_TP2.0_SL2.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,CPI_Dec2024,0.0,CPI_Dec2024,0.0,0.0,0.0
pre_may,straddle_TP3.0_SL0.5,1.1175,-1.3638,0.1129,-0.1369,6,0.1884,-0.1847,0.5,CPI_Dec2024,1.25,CPI_Jan2025,-0.5,-0.0239,0.3261
pre_may,straddle_TP3.0_SL1.0,0.8593,-2.107,0.0879,-0.2118,6,0.1468,0.4403,0.5,CPI_Dec2024,1.0,CPI_Feb2025,-1.0,-0.0239,0.3761
pre_may,straddle_TP3.0_SL1.5,-0.7781,-2.9775,-0.0753,-0.2998,6,-0.125,0.375,0.5,CPI_Dec2024,0.75,CPI_Feb2025,-1.5,-0.3,0.15
pre_may,straddle_TP3.0_SL2.0,1.3178,-0.1869,0.1314,-0.0187,6,0.2188,0.25,0.5,CPI_Dec2024,0.5,CPI_Mar2025,-0.1468,0.1626,0.292
post_may,pre_long_15,9.6671,-4.6673,0.9602,-0.4706,14,0.6852,0.2554,0.5714,Powell_Jackson_Hole,6.7277,FOMC_Press_Conference_Oct,-3.3652,0.2204,0.9968
post_may,pre_long_30,10.3164,-2.4093,1.0158,-0.2414,14,0.7243,0.3788,0.5714,Powell_Jackson_Hole,6.3237,FOMC_Press_Conference_Oct,-2.0087,0.2936,0.9345
post_may,pre_long_60,14.7087,-2.276,1.42,-0.2276,14,1.0102,0.6305,0.6429,Powell_Jackson_Hole,7.1518,FOMC_Press_Conference_Jul,-2.276,0.5378,1.263
post_may,pre_long_120,16.3693,-3.5077,1.5682,-0.3538,14,1.1147,0.7254,0.5714,Powell_Jackson_Hole,7.2015,FOMC_Press_Conference_Oct,-1.5425,0.6465,1.3191
post_may,pre_short_15,-9.4969,-12.2494,-0.9585,-1.2709,14,-0.6852,-0.2554,0.4286,FOMC_Press_Conference_Oct,3.3652,Powell_Jackson_Hole,-6.7277,-0.9968,-0.2204
post_may,pre_short_30,-9.95,-9.95,-1.0122,-1.0122,14,-0.7243,-0.3788,0.4286,FOMC_Press_Conference_Oct,2.0087,Powell_Jackson_Hole,-6.3237,-0.9345,-0.2936
post_may,pre_short_60,-13.5769,-14.0725,-1.4087,-1.4655,14,-1.0102,-0.6305,0.3571,FOMC_Press_Conference_Jul,2.276,Powell_Jackson_Hole,-7.1518,-1.263,-0.5378
post_may,pre_short_120,-14.8566,-15.7697,-1.5531,-1.6653,14,-1.1147,-0.7254,0.4286,FOMC_Press_Conference_Oct,1.5425,Powell_Jackson_Hole,-7.2015,-1.3191,-0.6465
post_may,momentum_5,3.1353,-0.729,0.313,-0.0729,14,0.2235,0.1234,0.5714,FOMC_Press_Conference_Oct,2.2097,CPI_Aug2025,-0.729,0.0708,0.2968
post_may,momentum_15,10.3325,-0.7252,1.0053,-0.0726,14,0.7158,0.4319,0.5714,Powell_Jackson_Hole,5.2412,CPI_Aug2025,-0.6382,0.3677,0.82
post_may,momentum_30,11.8819,-1.1464,1.1451,-0.1146,14,0.8145,0.3865,0.7143,Powell_Jackson_Hole,4.6916,CPI_Sep2025_Delayed,-0.8395,0.5163,0.9418
post_may,momentum_60,16.4091,-1.5819,1.553,-0.1589,14,1.1025,0.9043,0.7857,Powell_Jackson_Hole,5.5836,CPI_Sep2025_Delayed,-0.7386,0.7578,1.2442
post_may,straddle_TP0.5_SL0.5,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,FOMC_Press_Conference_May,0.0,FOMC_Press_Conference_May,0.0,0.0,0.0
post_may,straddle_TP0.5_SL1.0,0.9949,-0.75,0.0999,-0.075,14,0.0714,-0.25,0.4286,FOMC_Press_Conference_May,0.5,CPI_Apr2025,-0.25,0.0385,0.0962
post_may,straddle_TP0.5_SL1.5,-1.0123,-1.9875,-0.1001,-0.1999,14,-0.0714,-0.5,0.4286,FOMC_Press_Conference_May,0.5,CPI_Apr2025,-0.5,-0.1154,-0.0385
post_may,straddle_TP0.5_SL2.0,-2.9846,-3.4673,-0.2998,-0.3497,14,-0.2143,-0.75,0.4286,FOMC_Press_Conference_May,0.5,CPI_Apr2025,-0.75,-0.2692,-0.1731
post_may,straddle_TP1.0_SL0.5,-1.0049,-1.4944,-0.1,-0.1499,14,-0.0714,0.25,0.5714,CPI_Apr2025,0.25,FOMC_Press_Conference_May,-0.5,-0.0962,-0.0385
post_may,straddle_TP1.0_SL1.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,FOMC_Press_Conference_May,0.0,FOMC_Press_Conference_May,0.0,0.0,0.0
post_may,straddle_TP1.0_SL1.5,-1.743,-1.743,-0.1749,-0.1749,14,-0.125,-0.25,0.0714,FOMC_Press_Conference_Sep,1.0,CPI_Apr2025,-0.25,-0.2115,-0.1154
post_may,straddle_TP1.0_SL2.0,-2.9773,-3.4552,-0.2998,-0.3496,14,-0.2143,-0.5,0.1429,FOMC_Press_Conference_Sep,1.0,CPI_Apr2025,-0.5,-0.3077,-0.1923
post_may,straddle_TP1.5_SL0.5,0.9874,-1.4925,0.0999,-0.1499,14,0.0714,0.5,0.5714,CPI_Apr2025,0.5,FOMC_Press_Conference_May,-0.5,0.0385,0.1154
post_may,straddle_TP1.5_SL1.0,1.7568,-1.0,0.1751,-0.1,14,0.125,0.25,0.7857,CPI_Apr2025,0.25,FOMC_Press_Conference_Sep,-1.0,0.1154,0.2115
post_may,straddle_TP1.5_SL1.5,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,FOMC_Press_Conference_May,0.0,FOMC_Press_Conference_May,0.0,0.0,0.0
post_may,straddle_TP1.5_SL2.0,-1.0091,-2.2276,-0.1001,-0.2248,14,-0.0714,-0.25,0.0714,FOMC_Press_Conference_Dec,1.5,CPI_Apr2025,-0.25,-0.1923,-0.0577
post_may,straddle_TP2.0_SL0.5,3.0146,-1.4925,0.3001,-0.1499,14,0.2143,0.75,0.5714,CPI_Apr2025,0.75,FOMC_Press_Conference_May,-0.5,0.1731,0.2692
post_may,straddle_TP2.0_SL1.0,3.0222,-1.0074,0.3002,-0.1001,14,0.2143,0.5,0.7143,CPI_Apr2025,0.5,FOMC_Press_Conference_Sep,-1.0,0.1923,0.3077
post_may,straddle_TP2.0_SL1.5,0.9904,-1.5,0.0999,-0.15,14,0.0714,0.25,0.7143,CPI_Apr2025,0.25,FOMC_Press_Conference_Dec,-1.5,0.0577,0.1923
post_may,straddle_TP2.0_SL2.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,FOMC_Press_Conference_May,0.0,FOMC_Press_Conference_May,0.0,0.0,0.0
post_may,straddle_TP3.0_SL0.5,4.5118,-1.985,0.4472,-0.1999,14,0.3191,0.1172,0.5,CPI_Jun2025,1.25,FOMC_Press_Conference_May,-0.5,0.2475,0.3822
post_may,straddle_TP3.0_SL1.0,4.144,-2.1064,0.4113,-0.2109,14,0.2935,0.609,0.5714,CPI_Jun2025,1.0,FOMC_Press_Conference_Sep,-1.0,0.2392,0.393
post_may,straddle_TP3.0_SL1.5,2.0217,-2.4212,0.2039,-0.2427,14,0.1458,0.359,0.5714,CPI_Jun2025,0.75,FOMC_Press_Conference_Dec,-1.5,0.0993,0.2724
post_may,straddle_TP3.0_SL2.0,1.0237,-2.1678,0.1039,-0.2176,14,0.0743,0.1168,0.5,CPI_Jun2025,0.5,CPI_Sep2025_Delayed,-1.5686,0.0416,0.2007
